comment,"OptiTrack Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: A comment. You can ignore this information"
comment,"== info: Reports the file format version number, the number of rigid body definitions, and"
comment,"==       total number of exported frames"
comment,"== rigidbody: Details a rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Rigid Body Count (integer) number of rigid bodies tracked in current frame"
comment,"==    -- Rigid Body ID, Position, Quaternion Orientation, and Euler Angle Orientation >for each tracked rigid body< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visible markers in frame"
comment,"==    -- Marker Detail >for each reconstructed 3D marker< (x,y,z,id,name)"
comment,"== rigidbody: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Rigid Body Marker Location and ID >for each marker in rigid body< (x,y,z,id)"
comment,"==    -- Point Cloud Marker corresponding to each rigid body marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,version,1.1
info,framecount,2352
info,rigidbodycount,0
frame,0,0.00000000,0,4,0.12397054,0.03686801,0.04657996,1889,Marker-1889,0.12468350,0.06110972,0.02769303,1890,Marker-1890,0.16359448,0.04731655,0.04671091,1891,Marker-1891,0.12893051,0.04644853,0.00302911,1892,Marker-1892
frame,1,0.00833333,0,4,0.12396599,0.03687862,0.04658592,1889,Marker-1889,0.12468743,0.06111554,0.02769972,1890,Marker-1890,0.16358258,0.04732001,0.04671153,1891,Marker-1891,0.12894054,0.04644186,0.00301766,1892,Marker-1892
frame,2,0.01666667,0,4,0.12397066,0.03686967,0.04657446,1889,Marker-1889,0.12467525,0.06109610,0.02769519,1890,Marker-1890,0.16357245,0.04731455,0.04670824,1891,Marker-1891,0.12890670,0.04645453,0.00302915,1892,Marker-1892
frame,3,0.02500000,0,4,0.12397146,0.03687768,0.04657733,1889,Marker-1889,0.12468129,0.06111959,0.02768714,1890,Marker-1890,0.16357601,0.04729976,0.04670090,1891,Marker-1891,0.12891208,0.04645175,0.00302589,1892,Marker-1892
frame,4,0.03333333,0,4,0.12397398,0.03686349,0.04656892,1889,Marker-1889,0.12468147,0.06110020,0.02768807,1890,Marker-1890,0.16358650,0.04732244,0.04670312,1891,Marker-1891,0.12891866,0.04646530,0.00302343,1892,Marker-1892
frame,5,0.04166667,0,4,0.12397593,0.03686927,0.04657415,1889,Marker-1889,0.12468203,0.06111683,0.02769094,1890,Marker-1890,0.16356699,0.04730290,0.04669301,1891,Marker-1891,0.12892996,0.04643947,0.00302461,1892,Marker-1892
frame,6,0.05000000,0,4,0.12397088,0.03687524,0.04657990,1889,Marker-1889,0.12468584,0.06111054,0.02768996,1890,Marker-1890,0.16357554,0.04732085,0.04669924,1891,Marker-1891,0.12890981,0.04646647,0.00302946,1892,Marker-1892
frame,7,0.05833333,0,4,0.12397283,0.03687653,0.04658115,1889,Marker-1889,0.12468928,0.06112073,0.02770624,1890,Marker-1890,0.16356857,0.04729855,0.04669699,1891,Marker-1891,0.12893130,0.04645742,0.00303773,1892,Marker-1892
frame,8,0.06666667,0,4,0.12396843,0.03687702,0.04658196,1889,Marker-1889,0.12467891,0.06109820,0.02768121,1890,Marker-1890,0.16354956,0.04728882,0.04669224,1891,Marker-1891,0.12893519,0.04643864,0.00303361,1892,Marker-1892
frame,9,0.07500000,0,4,0.12397061,0.03686797,0.04657067,1889,Marker-1889,0.12467603,0.06110436,0.02768633,1890,Marker-1890,0.16359025,0.04731834,0.04671500,1891,Marker-1891,0.12892455,0.04644753,0.00302598,1892,Marker-1892
